,occupation_title,soc_level,occupation_code,occupation_code_prefix
0,Management Occupations,major_group,110000,11
1,Business and Financial Operations Occupations,major_group,130000,13
2,Computer and Mathematical Occupations,major_group,150000,15
3,Architecture and Engineering Occupations,major_group,170000,17
4,"Life, Physical, and Social Science Occupations",major_group,190000,19
5,Community and Social Service Occupations,major_group,210000,21
6,Legal Occupations,major_group,230000,23
7,Educational Instruction and Library Occupations,major_group,250000,25
8,"Arts, Design, Entertainment, Sports, and Media Occupations",major_group,270000,27
9,Healthcare Practitioners and Technical Occupations,major_group,290000,29
10,Healthcare Support Occupations,major_group,310000,31
11,Protective Service Occupations,major_group,330000,33
12,Food Preparation and Serving Related Occupations,major_group,350000,35
13,Building and Grounds Cleaning and Maintenance Occupations,major_group,370000,37
14,Personal Care and Service Occupations,major_group,390000,39
15,Sales and Related Occupations,major_group,410000,41
16,Office and Administrative Support Occupations,major_group,430000,43
17,"Farming, Fishing, and Forestry Occupations",major_group,450000,45
18,Construction and Extraction Occupations,major_group,470000,47
19,"Installation, Maintenance, and Repair Occupations",major_group,490000,49
20,Production Occupations,major_group,510000,51
21,Transportation and Material Moving Occupations,major_group,530000,53
22,Military Specific Occupations,major_group,550000,55
23,Top Executives,minor_group,111000,11
24,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor_group,112000,11
25,Operations Specialties Managers,minor_group,113000,11
26,Other Management Occupations,minor_group,119000,11
27,Business Operations Specialists,minor_group,131000,13
28,Financial Specialists,minor_group,132000,13
29,Computer Occupations,minor_group,151200,15
30,Mathematical Science Occupations,minor_group,152000,15
31,"Architects, Surveyors, and Cartographers",minor_group,171000,17
32,Engineers,minor_group,172000,17
33,"Drafters, Engineering Technicians, and Mapping Technicians",minor_group,173000,17
34,Life Scientists,minor_group,191000,19
35,Physical Scientists,minor_group,192000,19
36,Social Scientists and Related Workers,minor_group,193000,19
37,"Life, Physical, and Social Science Technicians",minor_group,194000,19
38,Occupational Health and Safety Specialists and Technicians,minor_group,195000,19
39,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor_group,211000,21
40,Religious Workers,minor_group,212000,21
41,"Lawyers, Judges, and Related Workers",minor_group,231000,23
42,Legal Support Workers,minor_group,232000,23
43,Postsecondary Teachers,minor_group,251000,25
44,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",minor_group,252000,25
45,Other Teachers and Instructors,minor_group,253000,25
46,"Librarians, Curators, and Archivists",minor_group,254000,25
47,Other Educational Instruction and Library Occupations,minor_group,259000,25
48,Art and Design Workers,minor_group,271000,27
49,"Entertainers and Performers, Sports and Related Workers",minor_group,272000,27
50,Media and Communication Workers,minor_group,273000,27
51,Media and Communication Equipment Workers,minor_group,274000,27
52,Healthcare Diagnosing or Treating Practitioners,minor_group,291000,29
53,Health Technologists and Technicians,minor_group,292000,29
54,Other Healthcare Practitioners and Technical Occupations,minor_group,299000,29
55,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",minor_group,311100,31
56,Occupational Therapy and Physical Therapist Assistants and Aides,minor_group,312000,31
57,Other Healthcare Support Occupations,minor_group,319000,31
58,Supervisors of Protective Service Workers,minor_group,331000,33
59,Firefighting and Prevention Workers,minor_group,332000,33
60,Law Enforcement Workers,minor_group,333000,33
61,Other Protective Service Workers,minor_group,339000,33
62,Supervisors of Food Preparation and Serving Workers,minor_group,351000,35
63,Cooks and Food Preparation Workers,minor_group,352000,35
64,Food and Beverage Serving Workers,minor_group,353000,35
65,Other Food Preparation and Serving Related Workers,minor_group,359000,35
66,Supervisors of Building and Grounds Cleaning and Maintenance Workers,minor_group,371000,37
67,Building Cleaning and Pest Control Workers,minor_group,372000,37
68,Grounds Maintenance Workers,minor_group,373000,37
69,Supervisors of Personal Care and Service Workers,minor_group,391000,39
70,Animal Care and Service Workers,minor_group,392000,39
71,Entertainment Attendants and Related Workers,minor_group,393000,39
72,Funeral Service Workers,minor_group,394000,39
73,Personal Appearance Workers,minor_group,395000,39
74,"Baggage Porters, Bellhops, and Concierges",minor_group,396000,39
75,Tour and Travel Guides,minor_group,397000,39
76,Other Personal Care and Service Workers,minor_group,399000,39
77,Supervisors of Sales Workers,minor_group,411000,41
78,Retail Sales Workers,minor_group,412000,41
79,"Sales Representatives, Services",minor_group,413000,41
80,"Sales Representatives, Wholesale and Manufacturing",minor_group,414000,41
81,Other Sales and Related Workers,minor_group,419000,41
82,Supervisors of Office and Administrative Support Workers,minor_group,431000,43
83,Communications Equipment Operators,minor_group,432000,43
84,Financial Clerks,minor_group,433000,43
85,Information and Record Clerks,minor_group,434000,43
86,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor_group,435000,43
87,Secretaries and Administrative Assistants,minor_group,436000,43
88,Other Office and Administrative Support Workers,minor_group,439000,43
