occupation_code,occ2000,socwt,nr_cog_anal,nr_cog_pers,r_cog,r_man,nr_man_phys,nr_man_pers,offshor
111011,1,919980.0,1.6863902,2.426956,0.14316261,-1.4282569,-1.5972284,0.9857786,1.2639744
111021,2,4.9825e+06,0.9887732,1.1150659,-1.786258,-0.9608035,-0.039932273,0.5822039,-0.26896876
112011,4,116140.0,1.1973473,1.4372401,-0.86366457,-0.80949384,-0.7303729,0.3900257,0.5345834
112021,5,491660.0,1.4380964,1.7296432,-1.4532425,-1.6140009,-1.4600825,0.8320361,1.0873463
112022,5,948100.0,1.1509278,2.8153021,-1.4670653,-1.4103671,-0.3848575,1.543096,1.4985814
112031,6,134990.0,1.8608458,1.6388215,0.04600233,-1.304576,-1.4584873,1.216393,0.5472516
113011,10,711180.0,0.17604001,0.27447763,-0.38515466,-1.0350071,-0.9988875,2.1004133,0.05206958
113021,11,775530.0,2.1731958,2.5501337,-0.42879596,-0.7438799,-0.33754516,0.5822039,-0.5616829
113031,12,1.42461e+06,1.3139836,1.3588592,0.27422738,-1.5107731,-1.5870781,0.55337745,0.6438553
113041,13,139890.0,1.3930496,1.5520458,-0.9707647,-1.6394975,-1.6088322,0.35159007,2.2532248
113042,13,84340.0,1.4108251,2.6492624,-2.0371728,-0.97122014,-0.8588522,0.8320361,1.1180996
113051,14,460230.0,0.73939425,2.2151303,-0.42153174,0.06268085,-0.48423246,-0.12885593,0.031883363
113061,15,201390.0,1.2401106,2.1164708,-0.60545886,-1.2767991,-1.5537201,-1.2819262,1.3968632
113071,16,266670.0,0.89353555,1.9246978,-0.17823638,-1.0735354,-0.7024863,-0.26338068,1.2068529
119011,20,10850.0,1.319941,1.5947368,-1.2650338,-0.54870546,0.111044504,0.25550097,-0.31455117
119012,21,990.0,-0.00970413,-0.77927536,-2.7724855,0.955499,1.758696,-0.76304454,0.35529733
119021,22,616360.0,1.1311423,1.1069057,-0.808796,-1.2627655,-0.7905014,0.12097622,0.46480379
119031,23,142540.0,0.93239975,1.9676961,-1.7298802,-1.5146694,-1.0859106,2.5232062,-0.8548671
119032,23,647700.0,1.6959735,2.8274813,-1.9487218,-1.5948198,-1.6226584,2.1196315,-0.23184814
119033,23,309850.0,1.6220587,2.3044302,-1.6154393,-1.5687567,-1.5537201,1.8313637,0.68916744
119041,30,555780.0,1.5471611,1.6073103,-1.2251745,-1.2181947,-1.4042039,0.35159007,0.96182567
119051,31,571930.0,0.32956204,1.8575977,0.011256653,0.52347904,0.074515246,0.8320361,-1.0837442
119061,32,68790.0,0.32790056,0.6810498,0.8043898,-0.30594367,0.50631595,1.543096,-1.3226446
119071,33,10380.0,0.7989803,2.2620893,-0.34774134,-0.6119017,-1.0474594,1.1395217,-0.9531845
119081,34,94230.0,0.26105687,0.7651291,-0.4925011,-1.1431199,-0.91123915,2.4847705,0.042167276
119111,35,705690.0,1.6162496,2.595186,-0.42543024,-1.0283859,-0.87174517,1.0818682,-0.9619871
119121,36,118430.0,1.2957466,0.2110002,-1.4600983,-0.61408526,-1.2879138,0.2747188,0.8770677
119131,40,79200.0,0.9829425,1.1121914,-0.3705199,-0.8144458,-1.4908725,0.23628314,0.08335315
119141,41,470770.0,0.40148166,1.4165239,-0.1846323,-1.4419096,-1.2159364,1.0242143,0.5174369
119151,42,337600.0,1.5009502,2.776521,-1.9259541,-1.2478234,-1.2698475,2.273374,-0.8174341
119199,43,1.0238e+06,1.5027556,1.7114247,0.08608371,-1.2124354,-1.6226463,,1.6365556
131011,50,33450.0,0.85797113,1.1932701,-0.6418636,-0.79904616,-0.99528295,1.6199672,1.293026
131021,51,39010.0,0.23147479,-0.60085213,0.28051996,-1.1377993,-0.58365184,-0.93600535,0.30607134
131022,52,402760.0,-0.32745564,0.49385798,0.8844096,-1.0111457,-0.8975393,0.3900257,1.385525
131023,53,825270.0,0.7552527,0.56311005,0.18513784,-0.32656455,-0.6717083,-0.8975697,1.4647783
131031,54,792670.0,0.4795071,-0.47763193,0.6608221,-0.48376217,-0.5872262,0.12097622,1.1298656
131032,54,37680.0,-0.84433097,-2.2910204,-0.5720518,-0.88024485,-0.5659085,0.6975113,1.2925853
131041,56,615800.0,1.2414794,0.51920193,0.39610693,-0.98256356,-0.20195311,0.50148934,0.18454818
131051,60,640300.0,1.5660125,0.9157271,0.6940272,-1.1261549,-1.4876312,-0.37868807,1.8537822
131061,73,34180.0,1.4037324,1.4271123,-1.8493373,-1.2274126,-1.2499619,0.14019403,-0.20471597
131071,62,561500.0,0.6245558,1.1113182,-0.57426405,-0.81570625,-1.1041685,0.9377339,0.7066538
131072,62,311480.0,1.3250062,-0.09887532,-0.5723007,-1.3990484,-0.99782914,-0.071202464,2.3847547
131073,62,606730.0,1.7003524,2.7507906,-1.5832181,-1.3725921,-1.4007564,0.8320361,1.0706176
131081,70,222130.0,1.2513223,0.58719724,-0.98896646,-1.7400366,-1.6571696,-0.3594698,1.2193115
131111,71,1.41671e+06,1.7766335,1.304258,-1.5351253,-0.9751565,-1.1828309,0.06332229,1.1163541
131121,72,128040.0,0.01207222,1.0293921,-0.42731673,-1.2689573,-0.13124399,0.8320361,0.01900769
131199,73,2.91727e+06,1.1577246,-0.19010943,-1.0402745,-1.0256125,0.45016104,,-0.06619462
132011,80,3.25919e+06,1.108543,0.7712701,0.76403815,-1.0999209,-1.2372657,-0.051984638,2.2288501
