,Program Year,Region,State/Territory,ETA Code,Local Board Name,Jurisdiction Name,Created Timestamp,Modified Timestamp,Status
0,2023,Region 3,Alabama,1020,Central Alabama Partnership for Training and Employment,Shelby County,01-Jun-2023,,Approved
1,2023,Region 3,Alabama,1020,Central Alabama Partnership for Training and Employment,Jefferson County,01-Jun-2023,,Approved
2,2023,Region 3,Alabama,1020,Central Alabama Partnership for Training and Employment,Walker County,01-Jun-2023,,Approved
3,2023,Region 3,Alabama,1020,Central Alabama Partnership for Training and Employment,Chilton County,01-Jun-2023,,Approved
4,2023,Region 3,Alabama,1020,Central Alabama Partnership for Training and Employment,St. Clair County,01-Jun-2023,,Approved
5,2023,Region 3,Alabama,1020,Central Alabama Partnership for Training and Employment,Blount County,01-Jun-2023,,Approved
6,2023,Region 3,Alabama,1025,Central Alabama Works!,Dallas County,01-Jun-2023,,Approved
7,2023,Region 3,Alabama,1025,Central Alabama Works!,Russell County,01-Jun-2023,,Approved
8,2023,Region 3,Alabama,1025,Central Alabama Works!,Autauga County,01-Jun-2023,,Approved
9,2023,Region 3,Alabama,1025,Central Alabama Works!,Lowndes County,01-Jun-2023,,Approved
10,2023,Region 3,Alabama,1025,Central Alabama Works!,Coosa County,01-Jun-2023,,Approved
11,2023,Region 3,Alabama,1025,Central Alabama Works!,Perry County,01-Jun-2023,,Approved
12,2023,Region 3,Alabama,1025,Central Alabama Works!,Lee County,01-Jun-2023,,Approved
13,2023,Region 3,Alabama,1025,Central Alabama Works!,Chambers County,01-Jun-2023,,Approved
14,2023,Region 3,Alabama,1025,Central Alabama Works!,Montgomery County,01-Jun-2023,,Approved
15,2023,Region 3,Alabama,1025,Central Alabama Works!,Elmore County,01-Jun-2023,,Approved
16,2023,Region 3,Alabama,1025,Central Alabama Works!,Tallapoosa County,01-Jun-2023,,Approved
17,2023,Region 3,Alabama,1025,Central Alabama Works!,Bullock County,01-Jun-2023,,Approved
18,2023,Region 3,Alabama,1025,Central Alabama Works!,Macon County,01-Jun-2023,,Approved
19,2023,Region 3,Alabama,1030,East Alabama Works!,Randolph County,01-Jun-2023,,Approved
20,2023,Region 3,Alabama,1030,East Alabama Works!,Cherokee County,01-Jun-2023,,Approved
